review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
it's a Good app that's way I give 5 Star,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
had to write this essay even tho I didn't do nun and it put all the effort I didn't want to put into it🙏🏿🙏🏿 this app is a real life saver🫡,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ChatGPT, a revolutionary.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Finally,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very useful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Installed for voice chat feature. The speech is really slow and you can't change the speed with which the message is played. They also went out of their way to add unnecessary 'umm's 'uhhh's and 'ah's to the AI speech. All in all it sounds woke and is too obnoxious to use.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The best Ai app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
helping me in every thing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very useful application for Self-study student especially for English association students,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"epic, poggies",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
App not opening at all,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
l am like by chat gpt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
খুবই উপকারী একটি এ্যাপ।,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazing app.. Although it is so simple.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
First person?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I love this app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Really nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I ts so nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
يرجى إضافة تعديل سؤالي,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
this is the best AI technology i have ever seen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ai🔥,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gret,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good but some answers of multiple choice questions are wrong please correct all question so that we can trust you ...and please provide mcq on current event which you have updated of 2021 and its 2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
best app for all people,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
awesome 👍😎 appp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Unreal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
it does not work,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AI? That's just a chat program. No intelligence at all.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Wow,fast and responsive best application of gpt",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Esse chat mudou minha vida!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very good and convenient Can also record,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Awesome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"this app is awesome, it works great and the response is pretty good too",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Historic, Amazing, Mind Bending! This is a powerful tool, and I gave 4 stars because of how great it is, but would really like to see more of the limitations lifted soon.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ChatGPT by OpenAI is an Android app revolutionizing AI-driven conversational experiences with GPT-3.5 architecture, accurate responses, and meaningful responses. Its user-friendly interface, continuous updates, and privacy measures ensure data protection for both personal and professional use.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Best thing humanity has come up with lol,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
